,Timestamp,Prediction,Actual
107,2020-09-12 11:00:00,583.434631347656,509.47
108,2020-09-12 12:00:00,599.455688476563,535.64
109,2020-09-12 13:00:00,609.77734375,520.41
110,2020-09-12 14:00:00,614.456298828125,509.29
111,2020-09-12 15:00:00,617.506774902344,522.41
112,2020-09-12 16:00:00,617.610961914063,556.98
113,2020-09-12 17:00:00,611.739868164063,528.21
114,2020-09-12 18:00:00,603.4248046875,551.33
115,2020-09-12 19:00:00,594.492431640625,569.55
116,2020-09-12 20:00:00,582.408935546875,629.43
117,2020-09-12 21:00:00,569.184936523438,630.87
118,2020-09-12 22:00:00,556.881469726563,610.04
119,2020-09-12 23:00:00,540.697570800781,589.73
120,2020-09-13 00:00:00,517.270568847656,525.45
121,2020-09-13 01:00:00,490.061462402344,501.13
122,2020-09-13 02:00:00,466.660034179688,495.84
123,2020-09-13 03:00:00,451.361450195313,491.58
124,2020-09-13 04:00:00,441.031494140625,482.63
125,2020-09-13 05:00:00,432.293395996094,480.6
126,2020-09-13 06:00:00,424.62548828125,476.55
127,2020-09-13 07:00:00,417.795837402344,469.74
128,2020-09-13 08:00:00,411.05712890625,441.83
129,2020-09-13 09:00:00,405.8984375,446.36
130,2020-09-13 10:00:00,406.299072265625,434.14
131,2020-09-13 11:00:00,413.447326660156,439.39
132,2020-09-13 12:00:00,424.920837402344,443.14
133,2020-09-13 13:00:00,436.239379882813,442.83
134,2020-09-13 14:00:00,442.198181152344,444.99
135,2020-09-13 15:00:00,441.996459960938,443.71
136,2020-09-13 16:00:00,438.570129394531,452.17
137,2020-09-13 17:00:00,435.282043457031,455.46
138,2020-09-13 18:00:00,438.386596679688,468.13
139,2020-09-13 19:00:00,451.776489257813,486.93
140,2020-09-13 20:00:00,473.37158203125,519.03
141,2020-09-13 21:00:00,497.422607421875,532.78
142,2020-09-13 22:00:00,519.750061035156,529.36
143,2020-09-13 23:00:00,535.07666015625,540.17
144,2020-09-14 00:00:00,538.071166992188,498.98
145,2020-09-14 01:00:00,527.791809082031,491.62
146,2020-09-14 02:00:00,506.885437011719,485.87
147,2020-09-14 03:00:00,482.610656738281,476.39
148,2020-09-14 04:00:00,461.357055664063,475.36
149,2020-09-14 05:00:00,444.560546875,476.19
150,2020-09-14 06:00:00,437.025390625,487.1
151,2020-09-14 07:00:00,442.075317382813,509.02
152,2020-09-14 08:00:00,458.456298828125,511.9
153,2020-09-14 09:00:00,485.433166503906,509.63
154,2020-09-14 10:00:00,522.197387695313,496.35
155,2020-09-14 11:00:00,561.955810546875,505.64
156,2020-09-14 12:00:00,594.734252929688,516.93
157,2020-09-14 13:00:00,612.39111328125,522.56
158,2020-09-14 14:00:00,618.95654296875,529.51
159,2020-09-14 15:00:00,621.874877929688,519.52
160,2020-09-14 16:00:00,617.610656738281,535.29
161,2020-09-14 17:00:00,611.320861816406,557.04
162,2020-09-14 18:00:00,609.675170898437,542.32
163,2020-09-14 19:00:00,605.513916015625,540.69
164,2020-09-14 20:00:00,593.468444824219,565.71
165,2020-09-14 21:00:00,579.980834960938,571.54
166,2020-09-14 22:00:00,568.253784179688,566.56
167,2020-09-14 23:00:00,553.867065429688,568.25
